2026-02-26 21:47:45,381 | INFO | app.pipeline.scan_pipeline | Scan started
2026-02-26 21:47:45,381 | INFO | app.pipeline.scan_pipeline | Config: data_provider=fireant lookback_min=150 db=sqlite:///./data/cyclemaster.db
2026-02-26 21:47:45,716 | INFO | app.services.data_service | Using provider: FireAntProvider for 157 symbols
2026-02-26 21:50:54,149 | INFO | app.services.data_service | Provider FireAntProvider returned 39093 rows for 157 symbols
2026-02-26 21:51:22,871 | INFO | app.pipeline.scan_pipeline | Fetched OHLCV rows: 39093 for 157 symbols
2026-02-26 21:51:22,871 | INFO | app.pipeline.scan_pipeline | OHLCV AAA: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,879 | INFO | app.pipeline.scan_pipeline | OHLCV ABS: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,881 | INFO | app.pipeline.scan_pipeline | OHLCV ACB: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,882 | INFO | app.pipeline.scan_pipeline | OHLCV ACV: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,883 | INFO | app.pipeline.scan_pipeline | OHLCV ANV: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,885 | INFO | app.pipeline.scan_pipeline | OHLCV APG: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,886 | INFO | app.pipeline.scan_pipeline | OHLCV APH: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,886 | INFO | app.pipeline.scan_pipeline | OHLCV ASM: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,887 | INFO | app.pipeline.scan_pipeline | OHLCV BCG: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,887 | INFO | app.pipeline.scan_pipeline | OHLCV BCM: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,888 | INFO | app.pipeline.scan_pipeline | OHLCV BFC: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,890 | INFO | app.pipeline.scan_pipeline | OHLCV BID: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,891 | INFO | app.pipeline.scan_pipeline | OHLCV BMP: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,893 | INFO | app.pipeline.scan_pipeline | OHLCV BSI: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,893 | INFO | app.pipeline.scan_pipeline | OHLCV BVH: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,894 | INFO | app.pipeline.scan_pipeline | OHLCV BVS: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,895 | INFO | app.pipeline.scan_pipeline | OHLCV BWE: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,898 | INFO | app.pipeline.scan_pipeline | OHLCV C4G: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,900 | INFO | app.pipeline.scan_pipeline | OHLCV CCL: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,901 | INFO | app.pipeline.scan_pipeline | OHLCV CEO: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,903 | INFO | app.pipeline.scan_pipeline | OHLCV CHP: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,904 | INFO | app.pipeline.scan_pipeline | OHLCV CII: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,906 | INFO | app.pipeline.scan_pipeline | OHLCV CMG: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,908 | INFO | app.pipeline.scan_pipeline | OHLCV CSV: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,910 | INFO | app.pipeline.scan_pipeline | OHLCV CTD: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,910 | INFO | app.pipeline.scan_pipeline | OHLCV CTG: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,911 | INFO | app.pipeline.scan_pipeline | OHLCV CTR: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,911 | INFO | app.pipeline.scan_pipeline | OHLCV DBC: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,913 | INFO | app.pipeline.scan_pipeline | OHLCV DCM: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,916 | INFO | app.pipeline.scan_pipeline | OHLCV DDG: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,918 | INFO | app.pipeline.scan_pipeline | OHLCV DGW: rows=249 range=2025-02-26..2026-02-26
